                          Simulation: CommonComponents                          


COMPONENTS
          ID #     Name              Formula
   1       155     Ethyl Acetate     C4H8O2       
   2       142     Methyl Acetate    C3H6O2       
   3       129     Ethylene Oxide    C2H4O        
   4       130     Acetic Acid       C2H4O2       
   5       140     Acetone           C3H6O        
   6       125     Acetonitrile      C2H3N        
   7       175     Aniline           C6H7N        
   8        40     Benzol            C6H6         
   9       112     Chloroform        CHCl3        
  10       222     Dichloromethane   CH2Cl2       
  11       162     Diethyl Ether     C4H10O       
  12       133     Dimethyl Ether    C2H6O        
  13       144     Dimethylformamid  C3H7NO       
  14         3     Ethane            C2H6         
  15       134     Ethanol           C2H6O        
  16        11     Heptane           C7H16        
  17        10     Hexane            C6H14        
  18         5     Isobutane         C4H10        
  19         7     Isopentane        C5H12        
  20         2     Methane           CH4          
  21       117     Methanol          CH4O         
  22         6     N-Butane          C4H10        
  23        13     N-Nonane          C9H20        
  24        12     N-Octane          C8H18        
  25         8     N-Pentane         C5H12        
  26         4     n-Propane         C3H8         
  27        46     Nitrogen          N2           
  28        47     Oxygen            O2           
  29        41     Toluene           C7H8         
  30        62     Water             H2O          
  31       281     Tetrahydrofuran   C4H8O        
  32       128     Acetaldehyde      C2H4O        
  33       135     1,2-Ethanediol    C2H6O2       
  34       163     Diethylene Glyco  C4H10O3      
  35        38     Hexahydrobenzene  C6H12        
  36       145     Isopropanol       C3H8O        


THERMODYNAMICS

 K-value model     :  NRTL
                      LLV Three Phase K-values
 Enthalpy model    :  Latent Heat
 Liquid density    :  Library  

 Std vapor rate reference temperature is 0 C.
 Atmospheric pressure is  101324.9766 Pa.


NRTL Parameters: Tij = Aij + Bij/T + Cij * Ln(T) + Dij * T (T Deg K)

  I   J      Bij      Bji   Alpha   Aij    Aji    Cij    Cji    Dij    Dji
  3  32   142.77  -147.15   0.298   0.00   0.00   0.00   0.00   0.00   0.00
  4   5  -534.52   966.59   0.228   0.00   0.00   0.00   0.00   0.00   0.00
  4   8   267.11   632.68   0.747   0.00   0.00   0.00   0.00   0.00   0.00
  4   9   255.66   377.92   1.183   0.00   0.00   0.00   0.00   0.00   0.00
  4  10  -140.03   605.05   0.298   0.00   0.00   0.00   0.00   0.00   0.00
  4  11   -23.85   311.27   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  4  15   105.31  -147.79   0.299   0.00   0.00   0.00   0.00   0.00   0.00
  4  16   694.76   535.22   0.469   0.00   0.00   0.00   0.00   0.00   0.00
  4  17   587.91   648.45   0.524   0.00   0.00   0.00   0.00   0.00   0.00
  4  19   539.00   636.18   0.555   0.00   0.00   0.00   0.00   0.00   0.00
  4  21    54.40   -78.84   0.307   0.00   0.00   0.00   0.00   0.00   0.00
  4  24   837.94   439.55   0.514   0.00   0.00   0.00   0.00   0.00   0.00
  4  29   600.01   666.30   0.727   0.00   0.00   0.00   0.00   0.00   0.00
  4  30  -110.57   424.02   0.300   0.00   0.00   0.00   0.00   0.00   0.00
  4  32   190.38   -98.31   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  4  35   367.96   767.70   0.560   0.00   0.00   0.00   0.00   0.00   0.00
  4  36  -141.63    40.96   0.305   0.00   0.00   0.00   0.00   0.00   0.00
  5   6   126.07  -102.71   0.279   0.00   0.00   0.00   0.00   0.00   0.00
  5  11  -173.59   457.06   0.299   0.00   0.00   0.00   0.00   0.00   0.00
  5  15    45.52   171.57   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  5  16   468.18    98.79   0.294   0.00   0.00   0.00   0.00   0.00   0.00
  5  17   342.93   239.98   0.292   0.00   0.00   0.00   0.00   0.00   0.00
  5  19   248.47   358.09   0.357   0.00   0.00   0.00   0.00   0.00   0.00
  5  21    87.85   123.66   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  5  25   -98.55   629.13   0.075   0.00   0.00   0.00   0.00   0.00   0.00
  5  29  -124.77   366.10   0.295   0.00   0.00   0.00   0.00   0.00   0.00
  5  30   377.58   653.89   0.586   0.00   0.00   0.00   0.00   0.00   0.00
  5  35   216.32   366.17   0.292   0.00   0.00   0.00   0.00   0.00   0.00
  5  36   233.95    67.81   0.300   0.00   0.00   0.00   0.00   0.00   0.00
  6   7   579.05  -376.70   0.315   0.00   0.00   0.00   0.00   0.00   0.00
  6   8    78.94   320.51   0.295   0.00   0.00   0.00   0.00   0.00   0.00
  6   9   363.86  -195.49   0.304   0.00   0.00   0.00   0.00   0.00   0.00
  6  10   629.23  -382.71   0.298   0.00   0.00   0.00   0.00   0.00   0.00
  6  11   292.92    43.89   0.298   0.00   0.00   0.00   0.00   0.00   0.00
  6  15   188.56   396.89   0.586   0.00   0.00   0.00   0.00   0.00   0.00
  6  16   768.57   465.43   0.333   0.00   0.00   0.00   0.00   0.00   0.00
  6  17  7113.37 -1800.92   0.200 -129.10  34.48  18.82  -4.73   0.00   0.00
  6  19   724.30   556.86   0.430   0.00   0.00   0.00   0.00   0.00   0.00
  6  21   279.36    55.86   0.298   0.00   0.00   0.00   0.00   0.00   0.00
  6  25   669.71   988.65   0.419   0.00   0.00   0.00   0.00   0.00   0.00
  6  29   397.91   364.38   0.935   0.00   0.00   0.00   0.00   0.00   0.00
  6  30   553.59   612.82   0.565   0.00   0.00   0.00   0.00   0.00   0.00
  7   8   136.11    26.06   0.300   0.00   0.00   0.00   0.00   0.00   0.00
  7  13   213.95  -511.73   0.307   0.00   0.00   0.00   0.00   0.00   0.00
  7  15  -263.21   917.55   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  7  16   730.98   593.20   0.511   0.00   0.00   0.00   0.00   0.00   0.00
  7  17   533.82   546.08   0.390   0.00   0.00   0.00   0.00   0.00   0.00
  7  21    -1.48   311.00   0.299   0.00   0.00   0.00   0.00   0.00   0.00
  7  29    97.98   113.75   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  7  30  -245.83  1790.56   0.162   0.00   0.00   0.00   0.00   0.00   0.00
  7  33   256.93   343.83   0.290   0.00   0.00   0.00   0.00   0.00   0.00
  7  35   285.75   563.97   0.290   0.00   0.00   0.00   0.00   0.00   0.00
  8   9  -114.42   -43.33   0.306   0.00   0.00   0.00   0.00   0.00   0.00
  8  13  -160.50   328.05   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  8  15   638.68    99.63   0.290   0.00   0.00   0.00   0.00   0.00   0.00
  8  17   191.58   -37.28   0.302   0.00   0.00   0.00   0.00   0.00   0.00
  8  21   894.69   114.60   0.348   0.00   0.00   0.00   0.00   0.00   0.00
  8  25   188.37     1.91   0.301   0.00   0.00   0.00   0.00   0.00   0.00
  8  29  -226.10   308.99   0.324   0.00   0.00   0.00   0.00   0.00   0.00
  8  30  -426.23 -5038.54   0.200  66.21 121.33 -10.66 -17.27   0.00   0.00
  8  34  1049.15   322.26   0.457   0.00   0.00   0.00   0.00   0.00   0.00
  8  35   163.17   -30.98   0.300   0.00   0.00   0.00   0.00   0.00   0.00
  8  36   391.68   164.82   0.291   0.00   0.00   0.00   0.00   0.00   0.00
  9  10   -72.18    29.20   6.490   0.00   0.00   0.00   0.00   0.00   0.00
  9  15   622.45  -126.96   0.293   0.00   0.00   0.00   0.00   0.00   0.00
  9  17   367.36  -158.49   0.300   0.00   0.00   0.00   0.00   0.00   0.00
  9  21  4078.08 -2917.08   0.019   0.00   0.00   0.00   0.00   0.00   0.00
  9  29   316.64  -293.69   0.297   0.00   0.00   0.00   0.00   0.00   0.00
  9  30 15491.40 -8284.19   0.200 -296.94 173.65  43.59 -24.72   0.00   0.00
  9  36   879.13  -275.12   0.296   0.00   0.00   0.00   0.00   0.00   0.00
 10  11  -179.19    70.84   0.307   0.00   0.00   0.00   0.00   0.00   0.00
 10  13   -94.25    40.57   0.302   0.00   0.00   0.00   0.00   0.00   0.00
 10  15  1219.03  -292.42   0.301   0.00   0.00   0.00   0.00   0.00   0.00
 10  21  1325.91  -508.25   0.126   0.00   0.00   0.00   0.00   0.00   0.00
 10  25   279.55    51.14   0.298   0.00   0.00   0.00   0.00   0.00   0.00
 10  30  1734.24  1814.11   0.454   0.00   0.00   0.00   0.00   0.00   0.00
 11  15   384.30    35.83   0.295   0.00   0.00   0.00   0.00   0.00   0.00
 11  21   268.93   365.23   0.628   0.00   0.00   0.00   0.00   0.00   0.00
 11  30   533.99  1047.67   0.218   0.00   0.00   0.00   0.00   0.00   0.00
 12  21   139.99   153.78   0.300   0.00   0.00   0.00   0.00   0.00   0.00
 12  26   198.39  2425.11   1.154   0.00   0.00   0.00   0.00   0.00   0.00
 13  17 11617.50 -15044.20   0.200 -235.77 365.97  34.75 -54.95   0.00   0.00
 13  19   685.01   794.19   0.424   0.00   0.00   0.00   0.00   0.00   0.00
 13  21    -5.76   -81.51   3.365   0.00   0.00   0.00   0.00   0.00   0.00
 13  29  -290.83   695.41   0.313   0.00   0.00   0.00   0.00   0.00   0.00
 13  30  -267.68   470.31   0.277   0.00   0.00   0.00   0.00   0.00   0.00
 13  33  -341.98   627.93   0.370   0.00   0.00   0.00   0.00   0.00   0.00
 13  35    68.29   806.74   0.146   0.00   0.00   0.00   0.00   0.00   0.00
 15  16   738.95   802.48   0.506   0.00   0.00   0.00   0.00   0.00   0.00
 15  17   432.75   544.28   0.383   0.00   0.00   0.00   0.00   0.00   0.00
 15  19   470.58   810.33   0.496   0.00   0.00   0.00   0.00   0.00   0.00
 15  21   190.06  -155.50   0.305   0.00   0.00   0.00   0.00   0.00   0.00
 15  22    59.64   611.00   0.123   0.00   0.00   0.00   0.00   0.00   0.00
 15  23   733.10   679.22   0.491   0.00   0.00   0.00   0.00   0.00   0.00
 15  24   607.29   702.18   0.472   0.00   0.00   0.00   0.00   0.00   0.00
 15  25   207.71   595.50   0.289   0.00   0.00   0.00   0.00   0.00   0.00
 15  29   334.05   624.79   0.519   0.00   0.00   0.00   0.00   0.00   0.00
 15  30   -55.17   670.44   0.303   0.00   0.00   0.00   0.00   0.00   0.00
 15  31  -104.07   300.25   0.299   0.00   0.00   0.00   0.00   0.00   0.00
 15  32   466.83  -317.71   0.408   0.00   0.00   0.00   0.00   0.00   0.00
 15  33   827.32  -102.54   0.370   0.00   0.00   0.00   0.00   0.00   0.00
 15  35   441.22   699.69   0.449   0.00   0.00   0.00   0.00   0.00   0.00
 15  36    60.57   -61.71   0.304   0.00   0.00   0.00   0.00   0.00   0.00
 16  17   177.64  -143.89   0.302   0.00   0.00   0.00   0.00   0.00   0.00
 16  21   764.56   754.93   0.428   0.00   0.00   0.00   0.00   0.00   0.00
 16  24  -233.93   299.07   0.278   0.00   0.00   0.00   0.00   0.00   0.00
 16  25   156.39  -170.77   0.304   0.00   0.00   0.00   0.00   0.00   0.00
 16  29   -80.53   213.96   0.302   0.00   0.00   0.00   0.00   0.00   0.00
 16  30 -7196.63  8036.24   0.200 263.62 -175.73 -40.93  28.35   0.00   0.00
 16  34 21359.30 -1416.96   0.200 -327.37  42.49  46.21  -6.09   0.00   0.00
 16  35  -159.05   205.14   0.307   0.00   0.00   0.00   0.00   0.00   0.00
 16  36   488.73   253.43   0.290   0.00   0.00   0.00   0.00   0.00   0.00
 17  19   -56.36    45.40   0.303   0.00   0.00   0.00   0.00   0.00   0.00
 17  21  1017.25   881.92   0.444   0.00   0.00   0.00   0.00   0.00   0.00
 17  22  -131.78   123.45   0.306   0.00   0.00   0.00   0.00   0.00   0.00
 17  24   352.81  -373.71   0.303   0.00   0.00   0.00   0.00   0.00   0.00
 17  25   -40.24    15.21   0.304   0.00   0.00   0.00   0.00   0.00   0.00
 17  29     9.47   112.77   0.301   0.00   0.00   0.00   0.00   0.00   0.00
 17  30 -6950.30 -15240.40   0.200 264.62 360.20 -41.26 -52.32   0.00   0.00
 17  35    26.53   469.15   0.303   0.00   0.00   0.00   0.00   0.00   0.00
 17  36   629.53   342.29   0.514   0.00   0.00   0.00   0.00   0.00   0.00
 18  21   724.71   530.28   0.465   0.00   0.00   0.00   0.00   0.00   0.00
 19  21   792.29   598.82   0.439   0.00   0.00   0.00   0.00   0.00   0.00
 19  29    -1.61     0.34 1162.100   0.00   0.00   0.00   0.00   0.00   0.00
 19  30 -65210.50  4351.05   0.200 1610.78 -110.09 -243.23  18.43   0.00   0.00
 19  36   668.45   381.46   0.614   0.00   0.00   0.00   0.00   0.00   0.00
 21  22   530.29   724.69   0.465   0.00   0.00   0.00   0.00   0.00   0.00
 21  23  2120.35  -494.86   0.166   0.00   0.00   0.00   0.00   0.00   0.00
 21  24   846.26   760.59   0.438   0.00   0.00   0.00   0.00   0.00   0.00
 21  25   672.44  1056.78   0.477   0.00   0.00   0.00   0.00   0.00   0.00
 21  29   456.83   515.84   0.431   0.00   0.00   0.00   0.00   0.00   0.00
 21  30   -24.49   307.17   0.300   0.00   0.00   0.00   0.00   0.00   0.00
 21  31    60.82   242.18   0.300   0.00   0.00   0.00   0.00   0.00   0.00
 21  33   189.94    25.20   4.113   0.00   0.00   0.00   0.00   0.00   0.00
 21  34  -386.57    72.25   0.297   0.00   0.00   0.00   0.00   0.00   0.00
 21  35   593.74   668.94   0.400   0.00   0.00   0.00   0.00   0.00   0.00
 21  36   -69.38    33.63   0.303   0.00   0.00   0.00   0.00   0.00   0.00
 22  25  -155.68   294.23   0.302   0.00   0.00   0.00   0.00   0.00   0.00
 23  35  -155.31   144.89   0.304   0.00   0.00   0.00   0.00   0.00   0.00
 24  29  -216.98   378.27   0.301   0.00   0.00   0.00   0.00   0.00   0.00
 24  35  -187.08   262.23   0.304   0.00   0.00   0.00   0.00   0.00   0.00
 24  36   478.30   450.17   0.469   0.00   0.00   0.00   0.00   0.00   0.00
 25  29   705.36  -246.79   0.298   0.00   0.00   0.00   0.00   0.00   0.00
 25  30 -9334.58 -30204.00   0.200 315.36 701.21 -48.74 -103.58   0.00   0.00
 25  35   -74.09   133.29   0.299   0.00   0.00   0.00   0.00   0.00   0.00
 29  30  2839.37  2160.78   0.200   0.00   0.00   0.00   0.00   0.00   0.00
 29  32  -645.58   572.82   0.289   0.00   0.00   0.00   0.00   0.00   0.00
 29  34  -224.39  1334.11   0.277   0.00   0.00   0.00   0.00   0.00   0.00
 29  35  -216.10   401.30   0.304   0.00   0.00   0.00   0.00   0.00   0.00
 29  36   675.34   382.18   0.625   0.00   0.00   0.00   0.00   0.00   0.00
 30  31   953.25   449.41   0.431   0.00   0.00   0.00   0.00   0.00   0.00
 30  32   662.99   -23.57   0.287   0.00   0.00   0.00   0.00   0.00   0.00
 30  33   405.26  -338.07   0.298   0.00   0.00   0.00   0.00   0.00   0.00
 30  34    18.39   -43.80  20.213   0.00   0.00   0.00   0.00   0.00   0.00
 30  35  2840.50  1806.30   0.200   0.00   0.00   0.00   0.00   0.00   0.00
 30  36   832.98    20.06   0.326   0.00   0.00   0.00   0.00   0.00   0.00
 31  33   418.60   284.04   0.292   0.00   0.00   0.00   0.00   0.00   0.00
 31  36   459.87  -257.60   0.292   0.00   0.00   0.00   0.00   0.00   0.00
 33  36   337.32   214.95   1.255   0.00   0.00   0.00   0.00   0.00   0.00
 35  36   666.95   348.64   0.554   0.00   0.00   0.00   0.00   0.00   0.00

Warning : BIP matrix is less than 50 % full.


CHEMCAD 7.1.4                                                 10/21/2018 4:49 AM
